sample-id,Notes,BirdID,Phase,CollYear,CollMonth,CollDay,Sex,Age,WeightNE,DigestivTrLength (SI+LI+2xceca),Gut - rectum (SI),Caecum,ceca/weight,ceca/Gut length,SI/weight,SeqRun
694,1,LM-14-105,early,2014,10,1,M,A,524.61,175.5,89,38,7.24,21.65,16.96498351,5
695,2,LM-15-081,early,2015,9,30,M,A,508,191.5,92,44,8.66,22.98,18.11023622,5
696,1,LM-14-113,early,2014,10,2,F,A,475.72,198,88,49.5,10.41,25,18.4982763,5
697,1,LM-14-110,early,2014,10,2,M,A,512.3,171,85,37.5,7.32,21.93,16.59184072,5
698,1,LM-14-101,early,2014,10,1,M,J,512.86,212,106,47.5,9.26,22.41,20.66840853,5
699,1,LM-15-019,early,2015,10,2,M,A,539.62,177.5,91,38,7.04,21.41,16.86371891,5
700,1,LM-15-013,early,2015,10,1,M,J,478.54,181.5,86,43,8.99,23.69,17.97132946,5
701,1,LM-15-084,early,2015,10,1,F,A,523.52,175,88,38,7.26,21.71,16.80929095,5
702,1,LM-15-086,early,2015,10,1,F,A,458,174,85,39,8.52,22.41,18.55895197,5
703,1,LM-15-061,early,2015,10,2,F,J,434,174,89,37,8.53,21.26,20.50691244,5
704,1,LM-15-067,early,2015,10,3,M,A,513,174,88,37.5,7.31,21.55,17.1539961,5
706,1,LM-15-028,early,2015,10,3,F,A,484,174.5,88,38,7.85,21.78,18.18181818,5
707,1,LM-15-021,early,2015,10,3,M,A,528.54,183.5,94,39,7.38,21.25,17.78484126,5
708,1,LM-15-047,early,2015,10,4,F,J,454.73,193.5,101,40,8.8,20.67,22.21098234,5
709,1,LM-15-060,early,2015,10,4,M,J,466,183,88,42,9.01,22.95,18.88412017,5
710,1,LM-15-026,early,2015,10,3,M,J,510.88,201,104,43,8.42,21.39,20.35703101,5
711,1,LM-15-138,early,2015,10,3,F,J,453.87,190,92.5,42.5,9.36,22.37,20.3802851,5
712,1,LM-15-214,early,2015,10,3,F,J,467,186.5,94,40.5,8.67,21.72,20.12847966,5
713,1,LM-15-212,early,2015,10,3,F,A,445.86,172.5,90,35.5,7.96,20.58,20.18570852,5
714,1,LM-15-018,early,2015,10,2,F,A,472.06,,,,,,,5
715,1,LM-15-032,early,2015,9,30,F,J,479.88,196,103,41,8.54,20.92,21.46369926,5
716,1,LM-15-030,early,2015,9,30,M,A,496.85,180,84,42,8.45,23.33,16.90651102,5
717,1,LM-15-025,early,2015,10,3,F,A,468.28,171.5,90,35.5,7.58,20.7,19.21927052,5
718,1,LM-15-033,early,2015,9,30,M,A,517,186,94,40,7.74,21.51,18.18181818,5
719,2,LM-15-024,early,2015,10,3,M,A,515.9,,,,,,,5
720,1,LM-15-034,early,2015,9,30,M,J,496.32,194,98,42,8.46,21.65,19.7453256,5
721,1,LM-15-215,early,2015,10,3,M,J,499.32,200.5,101.5,44,8.81,21.95,20.3276456,5
722,1,LM-15-123,early,2015,10,1,M,J,525.92,196,95,45,8.56,22.96,18.06358382,5
723,1,LM-15-125,early,2015,10,1,M,A,540.07,170,85,37,6.85,21.76,15.73870054,5
724,1,LM-15-133,early,2015,10,2,F,A,484.39,174.5,92,35.5,7.33,20.34,18.99296022,5
725,1,LM-15-135,early,2015,10,2,M,A,483.15,181,91,39.5,8.18,21.82,18.83473041,5
726,1,LM-15-072,early,2015,9,30,M,J,504.39,190,94,43,8.53,22.63,18.63637265,5
727,1,LM-15-001,early,2015,9,30,M,A,541,198,96,45,8.32,22.73,17.74491682,5
728,1,LM-15-043,early,2015,10,4,M,A,517.83,193,93,44,8.5,22.8,17.95956202,
729,1,LM-15-118,early,2015,10,2,F,A,458,158.5,82,33,7.21,20.82,17.90393013,5
730,1,LM-15-063,early,2015,10,2,M,A,516.4,174,83,40,7.75,22.99,16.07281177,5
731,1,LM-15-113,early,2015,10,1,F,A,511,183.5,93,40,7.83,21.8,18.19960861,
732,1,LM-15-139,early,2015,10,3,M,J,485,176,90,38,7.84,21.59,18.55670103,
733,1,LM-15-144,early,2015,9,30,M,A,526,183,92,40,7.6,21.86,17.4904943,5
734,2,LM-15-098,early,2015,10,2,F,J,411.56,176.5,89,38.5,9.35,21.81,21.62503645,5
735,1,LM-15-099,early,2015,10,2,M,J,555.31,204,109,41,7.38,20.1,19.62867587,5
736,1,LM-15-107,early,2015,10,3,F,J,433.3,184,95,39,9,21.2,21.92476344,
737,1,LM-15-108,early,2015,10,3,M,J,477.04,181.5,96,37.5,7.86,20.66,20.12409861,
738,1,LM-15-110,early,2015,9,30,M,A,488,178,92,37.5,7.68,21.07,18.85245902,5
739,2,LM-15-209,early,2015,10,4,M,J,476.27,194,94.5,44.5,9.34,22.94,19.84168644,5
740,1,LM-15-249,early,2015,10,4,F,A,468.45,170,89,35,7.47,20.59,18.99882592,5
741,1,LM-15-119,early,2015,10,2,M,A,511.49,190.5,97,41,8.02,21.52,18.96420262,5
742,1,LM-15-202,early,2015,10,3,M,J,527.29,191.5,95,42.5,8.06,22.19,18.01665118,5
743,1,LM-15-210,early,2015,10,3,F,A,459.88,178,89,39,8.48,21.91,19.35287466,5
744,1,LM-15-201,early,2015,10,3,F,A,487.037,182.5,97,37.5,7.7,20.55,19.91635132,5
745,1,LM-15-248,early,2015,10,4,F,J,414.45,177,85.5,40.5,9.77,22.88,20.62975027,5
746,1,LM-15-244,early,2015,10,4,F,J,440.27,176.5,93,36.5,8.29,20.68,21.12340155,5
747,1,LM-15-120,early,2015,9,30,F,J,469.19,185,98,38,8.1,20.54,20.88706068,5
748,1,LM-15-205,early,2015,10,4,M,A,487,180.5,92,38.5,7.91,21.33,18.89117043,5
749,1,LM-15-251,early,2015,10,4,M,J,472.83,197,97,44.5,9.41,22.59,20.51477275,5
751,1,LM-15-009,early,2015,10,1,M,A,516.12,174.5,93,35.5,6.88,20.34,18.01906533,5
752,1,LM-15-112,early,2015,10,1,M,A,502.51,193.5,100.5,41,8.16,21.19,19.999602,5
753,2,LM-15-300,early,2015,10,4,M,J,506.43,177.5,89,39,7.7,21.97,17.57399838,5
754,1,LM-15-219,early,2015,10,3,F,J,489.89,189.5,90,44,8.98,23.22,18.37147115,5
755,1,LM-15-221,early,2015,10,4,F,J,434.26,174,92,35.5,8.17,20.4,21.18546493,5
756,1,LM-15-222,early,2015,10,4,F,J,467.8,191.5,95,43,9.19,22.45,20.30782386,5
757,1,LM-15-255,early,2015,10,4,M,J,508.26,193,98,42,8.26,21.76,19.28147011,5
759,1,LM-16-251,early,2016,10,2,M,A,526.02,179.5,94,37.5,7.13,20.89,17.87004296,5
760,1,LM-16-216,early,2016,10,4,M,A,530.08,192,95,43,8.11,22.4,17.92182312,5
761,2,LM-16-339,early,2016,10,4,M,J,456.88,175,88,38,8.32,21.71,19.26107512,5
762,1,LM-15-226,early,2015,10,4,F,J,433.24,170.5,88,36,8.31,21.11,20.31206721,5
763,1,LM-15-240,early,2015,10,4,F,A,515.05,174,84,40,7.77,22.99,16.3090962,5
764,1,LM-15-197,early,2015,10,3,M,J,486.51,197.5,95,45.5,9.35,23.04,19.52683398,5
765,1,LM-15-073,early,2015,9,30,F,J,465.61,187,95,41,8.81,21.93,20.40334185,5
766,1,LM-15-077,early,2015,10,2,F,J,418.72,191.5,92,44.5,10.63,23.24,21.97172335,5
767,1,LM-15-199,early,2015,10,3,M,J,506.41,193,97,42.5,8.39,22.02,19.15444008,5
768,1,LM-15-252,early,2015,10,4,F,J,480.88,197.5,101,42.5,8.84,21.52,21.00316087,5
769,1,LM-15-258,early,2015,10,4,F,J,471.75,187,95,41,8.69,21.93,20.13778484,5
770,1,LM-15-257,early,2015,10,4,M,J,498,200.5,95,47,9.44,23.44,19.07630522,5
771,1,LM-15-003,early,2015,9,30,F,A,466.38,179,96,36,7.72,20.11,20.58407307,5
772,2,LM-15-036,early,2015,9,30,M,A,516.43,196.5,96,46,8.91,23.41,18.5891602,5
773,1,LM-15-155,early,2015,10,1,F,J,450,182.5,96,38,8.44,20.82,21.33333333,5
774,1,LM-15-152,early,2015,10,1,F,A,489.5,184,97,38.5,7.87,20.92,19.81613892,5
775,1,LM-15-174,early,2015,10,2,M,J,465.33,183.5,91,40.5,8.7,22.07,19.55601401,5
776,1,LM-15-190,early,2015,10,2,F,A,431.72,163.5,85,34.5,7.99,21.1,19.68868711,5
777,1,LM-15-180,early,2015,10,2,M,A,451.71,168.5,87,35.5,7.86,21.07,19.26014478,5
778,1,LM-15-178,early,2015,10,2,F,J,425.22,177.5,89,39,9.17,21.97,20.93034194,5
779,1,LM-15-006,early,2015,10,1,M,J,490,186.5,96,40,8.16,21.45,19.59183673,5
780,1,LM-15-185,early,2015,10,3,F,J,458.88,190,97,41,8.93,21.58,21.13842399,5
781,1,LM-15-150,early,2015,10,1,M,A,515.38,166,88,34,6.6,20.48,17.07477977,5
782,1,LM-15-035,early,2015,9,30,M,J,489.57,200,98,45,9.19,22.5,20.01756644,5
783,1,LM-15-194,early,2015,10,3,F,A,485.18,182.5,98,36.5,7.52,20,20.19868915,5
784,1,LM-15-080,early,2015,9,30,M,A,537.5,206.5,99,48,8.93,23.24,18.41860465,5
785,1,LM-16-262,early,2016,10,2,F,J,426.09,186.5,90,43,10.09,23.06,21.12229811,5
786,1,LM-16-278,early,2016,10,2,F,J,480.45,187.5,90,43,8.95,22.93,18.73243834,5
787,1,LM-16-235,early,2016,10,1,M,A,526.64,174,85,39,7.41,22.41,16.14005772,5
788,1,LM-16-270,early,2016,10,3,M,J,519,190.5,93,43,8.29,22.57,17.91907514,5
789,1,LM-16-294,early,2016,10,4,F,J,413.58,187.5,93,42,10.16,22.4,22.48658059,5
790,1,LM-16-264,early,2016,10,3,F,A,509.14,188.5,88,44,8.64,23.34,17.28404761,5
791,1,LM-16-260,early,2016,10,3,M,A,528.94,192.5,95,43,8.13,22.34,17.9604492,5
792,1,LM-16-257,early,2016,10,2,M,J,497.3,196,98.5,43,8.65,21.94,19.80695757,5
793,1,LM-16-248,early,2016,10,1,F,A,477.99,176.5,86,40.5,8.47,22.95,17.9920082,5
794,1,LM-16-286,early,2016,10,3,M,A,499.23,,,35,7.01,,,5
795,1,LM-16-285,early,2016,10,3,M,J,535.37,180,89,39.5,7.38,21.94,16.62401703,5
796,1,LM-16-284,early,2016,10,3,M,A,517,174.5,90,37,7.16,21.2,17.40812379,5
797,1,LM-16-250,early,2016,10,1,M,A,513.73,185,92,40.5,7.88,21.89,17.90823974,5
798,1,LM-16-234,early,2016,10,1,F,J,412.25,172.5,85,38.5,9.34,22.32,20.6185567,5
799,1,LM-16-218,early,2016,10,4,M,J,487.02,186.5,89,43.5,8.93,23.32,18.27440352,5
800,1,LM-16-223,early,2016,10,1,F,A,455.18,176.5,87,38.5,8.46,21.81,19.11331781,5
801,2,LM-16-314,early,2016,10,4,F,J,498.06,196,92,46.5,9.34,23.72,18.47167008,5
802,1,LM-16-311,early,2016,10,3,M,J,489.58,190.5,93,43,8.78,22.57,18.99587401,5
803,1,LM-16-083,early,2016,10,1,M,A,558.49,169,87,35,6.27,20.71,15.57771849,5
804,1,LM-16-092,early,2016,10,2,F,J,448.11,183,94,39,8.7,21.31,20.97699226,5
805,1,LM-16-109,early,2016,10,1,F,A,468.37,168,85,36,7.69,21.43,18.14804535,5
806,1,LM-16-374,early,2016,10,4,M,J,511,204,100,46,9,22.55,19.56947162,5
807,1,LM-16-373,early,2016,10,3,M,A,514.3,183,90,40.5,7.87,22.13,17.4995139,5
808,1,LM-16-375,early,2016,10,4,M,J,539.93,195.5,99,43,7.96,21.99,18.33571018,5
809,1,LM-16-366,early,2016,10,3,F,A,468.45,175,87,38.5,8.22,22,18.57188601,5
810,1,LM-16-363,early,2016,10,3,F,A,490.24,189,91,43,8.77,22.75,18.56233681,5
811,1,LM-16-323,early,2016,10,3,F,J,474.1,192,93,44,9.28,22.92,19.61611474,5
812,1,LM-16-321,early,2016,10,3,F,J,464.67,192.5,99,41,8.82,21.3,21.30544257,5
813,1,LM-16-317,early,2016,10,4,M,J,540.19,204,100,46,8.52,22.55,18.51200504,5
814,1,LM-16-326,early,2016,10,3,M,J,515.39,183,89,41,7.96,22.4,17.2684763,5
815,1,LM-16-298,early,2016,10,4,M,J,519.39,182.5,91,40,7.7,21.92,17.52055296,5
816,1,LM-16-258,early,2016,10,3,M,J,531.27,190,88,45,8.47,23.68,16.56408229,5
817,1,LM-16-351,early,2016,10,4,F,J,464.58,192,93,44,9.47,22.92,20.01808085,5
818,1,LM-16-268,early,2016,10,3,M,J,526,184,91,40.5,7.7,22.01,17.30038023,5
819,1,LM-16-133,early,2016,9,30,M,A,540.64,193,94,44,8.14,22.8,17.38680083,5
820,1,LM-16-212,early,2016,10,4,M,J,497.81,181.5,88,41,8.24,22.59,17.67742713,5
821,1,LM-16-215,early,2016,10,4,F,J,468,197,94,46,9.83,23.35,20.08547009,5
822,1,LM-16-036,early,2016,10,2,M,J,486.04,194,88,47,9.67,24.23,18.10550572,
823,1,LM-16-066,early,2016,9,30,M,J,516,189,92,43,8.33,22.75,17.82945736,5
824,1,LM-16-327,early,2016,10,3,F,J,452.81,186,88,44,9.72,23.66,19.43419977,5
825,1,LM-16-324,early,2016,10,3,M,A,545.47,174.5,83,39.5,7.24,22.64,15.21623554,5
826,1,LM-16-307,early,2016,10,4,F,J,435.84,186.5,91,42,9.64,22.52,20.87922173,5
827,1,LM-16-330,early,2016,10,3,M,A,481.12,178.5,84,42,8.73,23.53,17.45926172,5
828,1,LM-16-304,early,2016,10,4,F,A,470.74,193.5,91,46,9.77,23.77,19.33126567,5
829,1,LM-16-347,early,2016,10,4,F,A,449.14,178,90,38.5,8.57,21.63,20.03829541,5
830,1,LM-16-306,early,2016,10,4,M,J,475.8,208,99,49,10.3,23.56,20.80706179,5
831,1,LM-16-301,early,2016,10,4,M,J,491.47,181.5,91,40,8.14,22.04,18.51588093,5
832,1,LM-16-188,early,2016,10,3,M,J,511,192,94,43.5,8.51,22.66,18.39530333,5
833,1,LM-16-187,early,2016,10,2,F,A,471.68,161,82,34,7.21,21.12,17.38466757,5
834,1,LM-16-165,early,2016,10,1,M,A,539.77,175,89,37,6.85,21.14,16.48850436,5
835,1,LM-16-185,early,2016,10,2,M,J,527.32,192,90,45,8.53,23.44,17.06743533,5
836,1,LM-16-184,early,2016,10,2,M,J,514.57,191.5,96,41.5,8.06,21.67,18.65635385,5
837,1,LM-16-046,early,2016,9,30,F,A,439.98,182.5,92,39,8.86,21.37,20.91004137,5
838,1,LM-16-297,early,2016,10,4,F,J,455.59,185,89,42.5,9.33,22.97,19.53510832,5
839,1,LM-16-346,early,2016,10,4,F,J,488,197,97,44,9.02,22.34,19.87704918,5
840,1,LM-16-322,early,2016,10,3,F,J,384.67,183,92,39,10.14,21.31,23.91660384,5
841,1,LM-16-299,early,2016,10,4,F,A,471.24,,,40,8.49,,,6
842,1,LM-16-211,early,2016,10,3,M,A,516.33,172.5,86,38,7.36,22.03,16.65601456,6
843,1,LM-16-148,early,2016,10,2,M,A,501.68,177.5,90,38,7.57,21.41,17.93972253,6
844,1,LM-16-140,early,2016,10,1,M,A,504.03,176.5,88,38,7.54,21.53,17.45927822,6
845,1,LM-16-134,early,2016,9,30,F,A,459.95,189,96.5,40,8.7,21.16,20.98054136,6
846,1,LM-16-045,early,2016,9,30,F,J,458.78,196.5,94,45.5,9.92,23.16,20.48912333,6
847,1,LM-16-191,early,2016,9,30,M,A,482.73,176,90,37.5,7.77,21.31,18.64396246,6
848,1,LM-16-078,early,2016,10,1,F,J,437.78,184.11,87,43,9.82,23.36,19.87299557,6
849,1,LM-16-189,early,2016,10,3,F,J,436,181,92,38.5,8.83,21.27,21.10091743,6
850,1,LM-16-296,early,2016,10,4,F,A,488.51,187,93,41,8.39,21.93,19.03748132,6
851,1,LM-16-031,early,2016,10,1,M,A,526,183,91,40,7.6,21.86,17.30038023,6
852,1,LM-16-028,early,2016,10,2,M,A,514.15,191.5,94,43,8.36,22.45,18.28260235,6
853,1,LM-16-014,early,2016,9,30,F,A,426.57,173.5,88.5,37,8.67,21.33,20.74688797,6
854,1,LM-16-023,early,2016,10,1,M,A,502.14,188,95,40.5,8.07,21.54,18.91902657,6
855,1,LM-16-159,early,2016,10,4,F,J,449.02,185,90,42,9.35,22.7,20.04365062,6
856,1,LM-16-161,early,2016,9,30,M,A,530.95,180.5,87,41,7.72,22.71,16.3857237,6
857,1,LM-16-158,early,2016,10,4,F,J,487.15,193.5,93,44,9.03,22.74,19.09062917,6
858,1,LM-16-157,early,2016,10,3,F,A,462,179,88,39.5,8.55,22.07,19.04761905,6
859,1,LM-16-010,early,2016,9,30,M,A,471,163,77,37,7.86,22.7,16.34819533,6
860,1,LM-16-041,early,2016,9,30,F,J,456.79,183,89,41.5,9.09,22.68,19.48378905,6
861,1,LM-16-013,early,2016,9,30,F,J,515,208,101,47.5,9.22,22.84,19.61165049,6
864,1,LM-17-237,early,2017,10,3,M,A,568.03,180,84.5,42,7.39,23.33,14.87597486,6
865,1,LM-16-077,early,2016,10,1,F,A,490.16,174.5,86,39,7.96,22.35,17.54529133,6
866,1,LM-16-047,early,2016,9,30,M,A,535.76,181.5,93,39,7.28,21.49,17.35851874,6
867,1,LM-17-344,early,2017,10,3,F,A,421,171,84,38,9.03,22.22,19.95249406,6
868,1,LM-17-347,early,2017,10,3,M,A,535.5,185.5,91,41.5,7.75,22.37,16.99346405,6
869,1,LM-17-351,early,2017,10,3,M,A,508.21,169.5,83,37.5,7.38,22.12,16.33183133,
870,1,LM-17-343,early,2017,10,3,F,J,518.92,189.5,90,44,8.48,23.22,17.34371387,
871,1,LM-17-349,early,2017,10,3,F,A,498.33,182,94,38,7.63,20.88,18.86300243,
872,2,LM-17-003,early,2017,9,30,F,A,462.33,163.5,85,34,7.35,20.8,18.38513616,6
873,1,LM-17-016,early,2017,10,1,M,J,492,186.5,92,42,8.54,22.52,18.69918699,6
874,1,LM-17-001,early,2017,9,30,F,A,443.54,173.5,86,37.5,8.45,21.61,19.38945755,6
875,2,LM-17-329,early,2017,10,3,M,A,499.98,164.5,85,34,6.8,20.67,17.00068003,6
876,1,LM-17-324,early,2017,10,3,M,A,519.75,167,83.5,36,6.93,21.56,16.06541607,6
877,1,LM-17-241,early,2017,10,2,F,J,496.85,181.5,87,41.5,8.35,22.87,17.51031498,6
878,1,LM-17-342,early,2017,10,3,F,J,494.86,186.5,90,42.5,8.59,22.79,18.18696197,6
879,2,LM-17-227,early,2017,10,2,M,A,525.48,183,94,38.5,7.33,21.04,17.88840679,6
880,2,LM-17-228,early,2017,10,3,F,J,509.78,181.5,89.5,40,7.85,22.04,17.55659304,6
881,2,LM-17-230,early,2017,10,3,M,A,504.8,163,84,34,6.74,20.86,16.64025357,6
882,1,LM-17-173,early,2017,9,30,M,J,523.23,194,91,45.5,8.7,23.45,17.39196911,6
883,1,LM-17-202,early,2017,10,1,F,J,457.05,178,90.5,38,8.31,21.35,19.80089706,6
884,1,LM-17-348,early,2017,10,3,F,A,503,177,88,39,7.75,22.03,17.49502982,6
885,1,LM-17-225,early,2017,10,2,F,J,448.5,178,89,39,8.7,21.91,19.84392419,6
886,1,LM-17-226,early,2017,10,2,M,A,518.19,163,81,36,6.95,22.09,15.63133214,6
887,1,LM-17-218,early,2017,10,2,M,A,496.92,169,86,36,7.24,21.3,17.30660871,6
888,1,LM-17-215,early,2017,10,2,M,A,496,160,82,33.5,6.75,20.94,16.53225806,6
889,1,LM-17-169,early,2017,9,30,F,J,518.24,187.5,94,41,7.91,21.87,18.13831429,6
890,1,LM-17-224,early,2017,10,2,F,J,483.65,174.5,83,40,8.27,22.92,17.16117027,6
891,1,LM-17-195,early,2017,10,1,M,A,545.02,171,84,38,6.97,22.22,15.41227845,6
892,1,LM-17-201,early,2017,10,1,F,J,474.2,184,91,41,8.65,22.28,19.1902151,6
893,1,LM-17-083,early,2017,10,3,M,J,527.09,177.5,88.5,39,7.4,21.97,16.79030147,6
894,1,LM-17-077,early,2017,10,2,F,J,486.26,184.5,88,42.5,8.74,23.04,18.09731419,6
895,2,LM-17-204,early,2017,10,1,M,J,527.06,185.5,89,42.5,8.06,22.91,16.88612302,6
896,1,LM-17-175,early,2017,9,30,M,A,556.88,178.5,92,37.5,6.73,21.01,16.52061485,6
897,1,LM-17-183,early,2017,9,30,M,A,493.04,153.5,79.5,31.5,6.39,20.52,16.12445238,6
898,1,LM-17-071,early,2017,10,2,M,A,521.47,167.5,87,34.5,6.62,20.6,16.68360596,6
899,2,LM-17-073,early,2017,10,2,M,J,500.87,184.5,87,43,8.59,23.31,17.36977659,6
900,1,LM-17-187,early,2017,9,30,M,A,513.49,173.5,91,35.5,6.91,20.46,17.72186411,6
901,2,LM-17-301,early,2017,10,3,M,J,485.07,170.5,82,38,7.83,22.29,16.90477663,6
902,1,LM-17-325,early,2017,10,2,M,A,516.47,162,82.5,35,6.78,21.6,15.97382229,6
903,1,LM-17-323,early,2017,10,3,F,J,482,182.5,88,41.5,8.61,22.74,18.25726141,6
904,1,LM-17-302,early,2017,10,3,M,A,456.58,152,82,30,6.57,19.74,17.95961277,6
905,1,LM-17-242,early,2017,10,3,M,A,480,156,78.5,33.5,6.98,21.47,16.35416667,6
906,1,LM-17-191,early,2017,9,30,M,A,500.18,168,89,34,6.8,20.24,17.79359431,6
907,1,LM-17-194,early,2017,10,1,F,A,463.76,,,,,,,6
908,1,LM-17-074,early,2017,10,2,F,J,465.29,181,92.5,39,8.38,21.55,19.88007479,6
