sample-id,Notes,BirdID,Phase,CollYear,CollMonth,CollDay,Sex,Age,WeightNE,DigestivTrLength (SI+LI+2xceca),Gut - rectum (SI),Caecum,ceca/weight,ceca/Gut length,SI/weight,SeqRun
909,1,LM-17-075,early,2017,10,2,F,J,524.31,185.5,89.5,43,8.2,23.18,17.07005398,6
910,1,LM-17-181,early,2017,9,30,M,A,476.33,165.5,85,34.5,7.24,20.85,17.84477148,6
911,1,LM-17-170,early,2017,9,30,M,A,525.03,159,86,31,5.9,19.5,16.38001638,6
912,1,LM-17-223,early,2017,10,2,F,J,483.73,185.5,94,40,8.27,21.56,19.43232795,6
913,1,LM-17-064,early,2017,10,2,M,J,524.47,179,88,40,7.63,22.35,16.7788434,6
914,1,LM-17-065,early,2017,10,2,M,J,585.01,204,102,45,7.69,22.06,17.43559939,
915,1,LM-17-205,early,2017,10,1,M,J,512.32,182.5,91,40,7.81,21.92,17.76233604,6
916,1,LM-17-211,early,2017,10,1,F,J,497,196,98.5,43,8.65,21.94,19.81891348,6
917,1,LM-17-209,early,2017,10,1,M,J,523,182,88,41.5,7.93,22.8,16.82600382,6
918,1,LM-17-212,early,2017,10,1,F,A,501,161.5,84,33,6.59,20.43,16.76646707,6
920,1,LM-17-066,early,2017,10,2,F,J,481.02,196.5,93.5,46,9.56,23.41,19.43786121,6
921,1,LM-17-067,early,2017,10,3,M,J,496.07,188.5,95.5,40.5,8.16,21.49,19.25131534,6
922,1,LM-17-088,early,2017,10,3,M,J,469,179.5,90,39.5,8.42,22.01,19.18976546,6
923,1,LM-17-149,early,2017,9,30,F,A,445.17,170.5,84,37.5,8.42,21.99,18.86919604,6
924,1,LM-17-034,early,2017,9,30,F,A,491.24,172,85,37.5,7.63,21.8,17.30315121,6
925,1,LM-18-001,early,2018,10,3,M,A,519.65,202,97,47,9.04,23.27,18.66641008,6
926,1,LM-18-086,early,2018,10,10,F,J,490.35,190.5,92.5,43,8.77,22.57,18.86407668,6
927,1,LM-17-134,early,2017,9,30,M,A,524,190,94,42,8.02,22.11,17.9389313,6
928,1,LM-17-104,early,2017,10,2,F,A,438.83,163.5,81.5,36,8.2,22.02,18.57211221,6
929,1,LM-17-103,early,2017,10,2,M,J,501.07,181,88,41,8.18,22.65,17.56241643,6
930,1,LM-17-098,early,2017,10,2,M,J,505.72,181,89.5,40.5,8.01,22.38,17.69754014,6
931,1,LM-17-097,early,2017,10,1,F,J,489.48,180,91,38.5,7.87,21.39,18.59115796,6
932,1,LM-17-053,early,2017,10,2,M,J,557.54,182.5,92,40,7.17,21.92,16.50105822,6
933,2,LM-17-063,early,2017,10,2,M,A,524.02,174,89,37,7.06,21.26,16.98408458,6
934,1,LM-17-142,early,2017,9,30,M,J,518.7,194,93,44.5,8.58,22.94,17.92943898,6
935,,LM-17-141,early,2017,9,30,M,A,523.15,169,81,38,7.26,22.49,15.48313103,6
936,1,LM-17-152,early,2017,9,30,F,J,482.76,191.5,93,43.5,9.01,22.72,19.26423067,6
937,1,LM-17-113,early,2017,10,3,M,J,476.22,191,92,43.5,9.13,22.77,19.31880223,6
938,1,LM-17-057,early,2017,10,2,M,A,557.22,,,37,6.64,,,6
939,,LM-17-061,early,2017,10,2,F,J,441.21,173,82,40.5,9.18,23.41,18.58525419,6
940,1,LM-17-050,early,2017,10,1,F,J,473.93,182,96,38,8.02,20.88,20.25615597,6
941,1,LM-17-058,early,2017,10,2,M,J,515.75,178.5,91,38,7.37,21.29,17.64420746,6
942,1,LM-18-064,early,2018,10,10,F,A,486,178.5,85,40.5,8.33,22.69,17.48971193,6
943,2,LM-18-063,early,2018,10,10,F,J,427.66,189.5,88,45,10.52,23.75,20.57709395,6
944,1,LM-18-029,early,2018,10,3,M,J,586.44,178,87,39.5,6.74,22.19,14.83527727,
945,1,LM-17-087,early,2017,10,3,F,J,447.25,163.5,83,34.5,7.71,21.1,18.55785355,
946,1,LM-17-089,early,2017,10,3,M,A,502.33,164,84,35,6.97,21.34,16.72207513,6
947,1,LM-17-090,early,2017,10,3,M,A,486.32,161.5,85.5,32,6.58,19.81,17.58101661,6
948,1,LM-17-096,early,2017,10,1,F,A,494,163.5,83,35,7.09,21.41,16.80161943,6
949,1,LM-18-052,early,2018,10,5,F,J,466.6,193.5,87,47,10.07,24.29,18.64552079,6
950,1,LM-18-050,early,2018,10,5,M,J,492.27,183,85,43,8.74,23.5,17.266947,6
951,,LM-18-091,early,2018,10,10,M,A,510.03,177,84,41,8.04,23.16,16.46961943,6
952,1,LM-18-075,early,2018,10,10,M,A,509.44,165,83,36,7.07,21.82,16.2923995,6
953,1,LM-18-046,early,2018,10,5,F,J,505.81,187.5,94,41,8.11,21.87,18.5840533,6
954,1,LM-18-049,early,2018,10,5,M,J,489.32,209.5,98,49,10.01,23.39,20.02779367,6
955,,LM-17-111,early,2017,10,2,M,J,510,185,88,42,8.24,22.7,17.25490196,6
956,,LM-17-157,early,2017,10,1,M,A,481.67,175.5,87,38.5,7.99,21.94,18.06215874,6
957,1,LM-17-158,early,2017,10,1,M,J,509.34,193,87,46.5,9.13,24.09,17.08092826,6
958,1,LM-17-162,early,2017,9,30,M,J,501.69,181.5,88.5,40.5,8.07,22.31,17.64037553,6
959,1,LM-18-095,early,2018,10,10,M,A,546,169.5,84,37,6.78,21.83,15.38461538,6
960,2,LM-18-092,early,2018,10,10,F,J,506.6,196,90.5,47,9.28,23.98,17.86419266,6
961,1,LM-18-085,early,2018,10,10,M,J,543,198.5,93.5,47,8.66,23.68,17.21915285,6
966,,LM-18-088,early,2018,10,10,M,A,503.98,173.5,86,38,7.54,21.9,17.06416921,
967,1,LM-18-087,early,2018,10,10,M,J,545.29,196.5,91.5,46.5,8.53,23.66,16.78006199,6
968,1,LM-18-090,early,2018,10,10,M,J,524.45,192,89,45,8.58,23.44,16.97015921,6
969,1,LM-18-072,early,2018,10,6,M,J,522.77,192.5,91,45,8.61,23.38,17.4072728,6
970,2,LM-18-074,early,2018,10,6,M,J,517.04,192.5,93,43.5,8.41,22.6,17.98700294,6
971,2,LM-18-083,early,2018,10,10,M,A,542.74,172,83,38,7,22.09,15.2927737,6
972,1,LM-18-081,early,2018,10,10,F,J,508.07,202.5,94,48,9.45,23.7,18.5013876,6
973,1,LM-18-037,early,2018,10,3,M,J,544.29,191,89.5,44.5,8.18,23.3,16.44344008,6
974,2,LM-18-039,early,2018,10,3,M,A,493.34,183.3,84.5,43.4,8.8,23.68,17.12814692,6
975,1,LM-18-040,early,2018,10,3,M,A,514.65,180,81.5,43,8.36,23.89,15.83600505,6
976,1,LM-18-094,early,2018,10,10,M,A,523.24,183.5,90.5,40.5,7.74,22.07,17.29607828,6
977,1,LM-18-044,early,2018,10,5,M,J,446.82,194.5,86,48.5,10.85,24.94,19.24712412,6
978,1,LM-18-002,early,2018,10,3,F,J,517.6,197.5,88,48.5,9.37,24.56,17.0015456,6
979,1,LM-18-008,early,2018,10,3,M,J,529.59,188.5,93.5,41.5,7.84,22.02,17.6551672,6
980,1,LM-18-011,early,2018,10,3,M,J,517.25,195,86.5,48,9.28,24.62,16.72305462,6
981,2,LM-18-070,early,2018,10,10,M,J,539.05,187,87,44,8.16,23.53,16.13950468,6
982,1,LM-18-010,early,2018,10,3,M,A,528.19,173.5,87.5,37.5,7.1,21.61,16.56600844,6
984,1,LM-18-100,early,2018,10,10,F,J,436.31,205,97,48,11,23.41,22.23189934,6
985,1,LM-18-097,early,2018,10,10,F,J,515.04,176,86,39.5,7.67,22.44,16.69773221,6
986,1,LM-18-096,early,2018,10,10,F,J,437.34,183,81.5,45.5,10.4,24.86,18.63538666,6
988,1,LM-18-055,early,2018,10,5,F,A,402,172.5,86.5,37,9.2,21.45,21.51741294,6
989,1,LM-18-056,early,2018,10,5,M,A,536.7,172,86.5,36.5,6.8,21.22,16.11701137,6
990,1,LM-18-057,early,2018,10,5,M,A,566.17,183.5,90.5,40,7.07,21.8,15.98459827,6
991,1,LM-18-059,early,2018,10,5,M,A,498.8,181,85,42,8.42,23.2,17.04089816,6
992,1,LM-18-018,early,2018,10,5,F,J,488.34,185.5,81.5,46,9.42,24.8,16.68919196,6
993,1,LM-18-042,early,2018,10,5,F,J,436.69,189,91,43.5,9.96,23.02,20.83858114,6
994,1,LM-18-038,early,2018,10,3,M,J,501.46,185.5,90,41.5,8.28,22.37,17.94759303,6
995,1,LM-18-003,early,2018,10,3,M,J,556.95,205.2,92,50.1,9,24.42,16.51853847,6
996,1,LM-18-031,early,2018,10,3,M,A,504.53,174.5,82.5,40,7.93,22.92,16.35185222,6
997,1,LM-18-022,early,2018,10,3,F,J,483.55,181,88,40.5,8.38,22.38,18.1987385,6
998,,LM-18-014,early,2018,10,3,F,A,454,148,84.5,12,2.64,8.11,18.6123348,6
999,1,LM-18-024,early,2018,10,3,M,J,549.6,196,88,47,8.55,23.98,16.01164483,6
1000,2,LM-18-019,early,2018,10,5,M,A,556.16,195,93,44,7.91,22.56,16.72180667,6
1001,1,LM-18-062,early,2018,10,6,M,J,500,197,91.5,47,9.4,23.86,18.3,6
1002,1,LM-18-021,early,2018,10,3,M,A,507.84,188,88,44,8.66,23.4,17.32829238,6
1003,1,LM-18-013,early,2018,10,3,F,J,476.94,186,87.5,43.5,9.12,23.39,18.3461232,6
1010,1,LM-18-026,early,2018,10,3,M,J,503.3,198.5,87.5,49.5,9.84,24.94,17.3852573,6
1442,2,LM-18-025,early,2018,10,3,M,A,504.14,176.5,80,42,8.33,23.8,15.86860793,6
1443,1,LM-18-023,early,2018,10,3,M,J,520.55,206.5,96.5,48.5,9.32,23.49,18.53808472,6
1444,2,LM-18-032,early,2018,10,3,M,J,504.47,182,91,39.5,7.83,21.7,18.03873372,7
1446,2,LM-18-036,early,2018,10,3,M,J,569.75,182,88,41.5,7.28,22.8,15.44537078,6
1447,1,LM-18-028,early,2018,10,3,M,J,524,182.5,84,43,8.21,23.56,16.03053435,7
1448,1,LM-18-027,early,2018,10,3,M,J,526.97,196.5,99.5,42.5,8.06,21.63,18.88153026,7
1449,1,LM-18-030,early,2018,10,3,M,A,505.64,177,88,39,7.71,22.03,17.40368642,6
1489,,LM-18-016,early,2018,10,3,M,J,513,171,83.5,38.5,7.5,22.51,16.27680312,
1490,,LM-18-012,early,2018,10,3,M,J,505.8,192,92,43.5,8.6,22.66,18.18900751,7
1491,,LM-18-098,early,2018,10,10,M,J,546.32,190.5,92,43.5,7.96,22.83,16.83994728,7
1492,,LM-18-041,early,2018,10,5,M,J,489.48,182,86.5,42,8.58,23.08,17.67181499,7
1493,,LM-18-007,early,2018,10,3,M,J,494.59,183.5,87,42.5,8.59,23.16,17.59032734,7
1494,,LM-18-005,early,2018,10,3,M,J,525.65,195.5,92.5,45,8.56,23.02,17.59726053,7
1495,,LM-18-099,early,2018,10,10,M,J,555,212.5,105.5,48,8.65,22.59,19.00900901,7
1496,,LM-18-067,early,2018,10,10,M,J,482.33,185,90,42,8.71,22.7,18.65942405,7
1497,,LM-18-066,early,2018,10,10,M,J,471.96,164,79,37,7.84,22.56,16.73870667,7
1498,,LM-18-058,early,2018,10,5,M,J,474.57,190.5,91,44,9.27,23.1,19.17525339,7
1499,,LM-18-051,early,2018,10,5,M,J,505.12,190,89.5,44,8.71,23.16,17.71856193,7
1500,,LM-18-004,early,2018,10,3,M,J,524.06,193.5,92,44,8.4,22.74,17.55524177,7
0104-1058,,LM-09-046,early,2009,10,2,M,J,539.5,193,,44,8.16,22.8,,7
0104-1078,,LM-09-046,early,2009,10,2,M,J,539.5,193,,44,8.16,22.8,,7
0104-1098,,LM-09-046,early,2009,10,2,M,J,539.5,193,,44,8.16,22.8,,7
0104-1118,,LM-09-046,early,2009,10,2,M,J,539.5,193,,44,8.16,22.8,,7
0105-1059,,LM-09-090,early,2009,10,3,M,J,491.26,190,,40,8.14,21.05,,7
0105-1079,,LM-09-090,early,2009,10,3,M,J,491.26,190,,40,8.14,21.05,,7
0105-1099,,LM-09-090,early,2009,10,3,M,J,491.26,190,,40,8.14,21.05,,7
0105-1119,,LM-09-090,early,2009,10,3,M,J,491.26,190,,40,8.14,21.05,,7
0106-1060,,LM-09-002,early,2009,10,1,M,J,519.98,200,,47,9.04,23.5,,7
0106-1080,,LM-09-002,early,2009,10,1,M,J,519.98,200,,47,9.04,23.5,,7
0106-1100,,LM-09-002,early,2009,10,1,M,J,519.98,200,,47,9.04,23.5,,7
0106-1120,,LM-09-002,early,2009,10,1,M,J,519.98,200,,47,9.04,23.5,,7
0262-1064,2,LM-10-099,early,2010,10,3,F,A,508.52,169,83,37,7.28,21.89,16.32187525,7
0262-1084,2,LM-10-099,early,2010,10,3,F,A,508.52,169,83,37,7.28,21.89,16.32187525,7
0262-1104,2,LM-10-099,early,2010,10,3,F,A,508.52,169,83,37,7.28,21.89,16.32187525,7
0262-1124,2,LM-10-099,early,2010,10,3,F,A,508.52,169,83,37,7.28,21.89,16.32187525,7
0263-1065,2,LM-10-091,early,2010,10,3,M,J,475.94,174,86,39,8.19,22.41,18.06950456,7
0263-1085,2,LM-10-091,early,2010,10,3,M,J,475.94,174,86,39,8.19,22.41,18.06950456,7
0263-1105,2,LM-10-091,early,2010,10,3,M,J,475.94,174,86,39,8.19,22.41,18.06950456,7
0263-1125,2,LM-10-091,early,2010,10,3,M,J,475.94,174,86,39,8.19,22.41,18.06950456,7
0264-1066,3,LM-10-272,early,2010,10,6,M,A,514.37,189,90,43,8.36,22.75,17.49713241,7
0264-1086,3,LM-10-272,early,2010,10,6,M,A,514.37,189,90,43,8.36,22.75,17.49713241,7
0264-1106,3,LM-10-272,early,2010,10,6,M,A,514.37,189,90,43,8.36,22.75,17.49713241,7
0264-1126,3,LM-10-272,early,2010,10,6,M,A,514.37,189,90,43,8.36,22.75,17.49713241,7
0370-1061,1,LM-11-138,early,2011,10,5,M,J,510.49,210,94.5,52,10.19,24.76,18.51162608,7
0370-1081,1,LM-11-138,early,2011,10,5,M,J,510.49,210,94.5,52,10.19,24.76,18.51162608,7
0370-1101,1,LM-11-138,early,2011,10,5,M,J,510.49,210,94.5,52,10.19,24.76,18.51162608,7
0370-1121,1,LM-11-138,early,2011,10,5,M,J,510.49,210,94.5,52,10.19,24.76,18.51162608,7
0372-1063,1,LM-11-135,early,2011,10,5,M,A,552.18,181.5,92,39,7.06,21.49,16.66123366,7
0372-1083,1,LM-11-135,early,2011,10,5,M,A,552.18,181.5,92,39,7.06,21.49,16.66123366,7
0372-1103,1,LM-11-135,early,2011,10,5,M,A,552.18,181.5,92,39,7.06,21.49,16.66123366,7
0372-1123,1,LM-11-135,early,2011,10,5,M,A,552.18,181.5,92,39,7.06,21.49,16.66123366,7
0508-1062,1,LM-12-028,early,2012,10,1,M,A,544.1,194,97,43,7.9,22.16,17.82760522,7
0508-1082,1,LM-12-028,early,2012,10,1,M,A,544.1,194,97,43,7.9,22.16,17.82760522,7
0508-1102,1,LM-12-028,early,2012,10,1,M,A,544.1,194,97,43,7.9,22.16,17.82760522,7
0508-1122,1,LM-12-028,early,2012,10,1,M,A,544.1,194,97,43,7.9,22.16,17.82760522,7
0614-1067,1,LM-13-075,early,2013,9,29,M,J,548.45,201,106,42,7.66,20.9,19.32719482,7
0614-1087,1,LM-13-075,early,2013,9,29,M,J,548.45,201,106,42,7.66,20.9,19.32719482,7
0614-1107,1,LM-13-075,early,2013,9,29,M,J,548.45,201,106,42,7.66,20.9,19.32719482,7
0614-1127,1,LM-13-075,early,2013,9,29,M,J,548.45,201,106,42,7.66,20.9,19.32719482,7
0615-1068,1,LM-13-055,early,2013,9,28,M,A,535.75,192,92,44,8.21,22.92,17.17218852,7
0615-1088,1,LM-13-055,early,2013,9,28,M,A,535.75,192,92,44,8.21,22.92,17.17218852,7
0615-1108,1,LM-13-055,early,2013,9,28,M,A,535.75,192,92,44,8.21,22.92,17.17218852,7
0615-1128,1,LM-13-055,early,2013,9,28,M,A,535.75,192,92,44,8.21,22.92,17.17218852,7
0616-1069,1,LM-13-115,early,2013,10,3,M,J,511.12,186.5,88,44,8.61,23.59,17.21709188,7
0616-1089,1,LM-13-115,early,2013,10,3,M,J,511.12,186.5,88,44,8.61,23.59,17.21709188,7
0616-1109,1,LM-13-115,early,2013,10,3,M,J,511.12,186.5,88,44,8.61,23.59,17.21709188,7
0616-1129,1,LM-13-115,early,2013,10,3,M,J,511.12,186.5,88,44,8.61,23.59,17.21709188,7
0745-1070,1,LM-15-248,early,2015,10,4,F,J,414.45,177,85.5,40.5,9.77,22.88,20.62975027,7
0745-1090,1,LM-15-248,early,2015,10,4,F,J,414.45,177,85.5,40.5,9.77,22.88,20.62975027,7
0745-1110,1,LM-15-248,early,2015,10,4,F,J,414.45,177,85.5,40.5,9.77,22.88,20.62975027,7
0745-1130,1,LM-15-248,early,2015,10,4,F,J,414.45,177,85.5,40.5,9.77,22.88,20.62975027,7
0746-1071,1,LM-15-244,early,2015,10,4,F,J,440.27,176.5,93,36.5,8.29,20.68,21.12340155,7
0746-1091,1,LM-15-244,early,2015,10,4,F,J,440.27,176.5,93,36.5,8.29,20.68,21.12340155,7
0746-1111,1,LM-15-244,early,2015,10,4,F,J,440.27,176.5,93,36.5,8.29,20.68,21.12340155,7
0746-1131,1,LM-15-244,early,2015,10,4,F,J,440.27,176.5,93,36.5,8.29,20.68,21.12340155,7
0749-1072,1,LM-15-251,early,2015,10,4,M,J,472.83,197,97,44.5,9.41,22.59,20.51477275,7
0749-1092,1,LM-15-251,early,2015,10,4,M,J,472.83,197,97,44.5,9.41,22.59,20.51477275,7
0749-1112,1,LM-15-251,early,2015,10,4,M,J,472.83,197,97,44.5,9.41,22.59,20.51477275,7
0749-1132,1,LM-15-251,early,2015,10,4,M,J,472.83,197,97,44.5,9.41,22.59,20.51477275,7
0751-1073,1,LM-15-009,early,2015,10,1,M,A,516.12,174.5,93,35.5,6.88,20.34,18.01906533,7
0751-1093,1,LM-15-009,early,2015,10,1,M,A,516.12,174.5,93,35.5,6.88,20.34,18.01906533,7
0751-1113,1,LM-15-009,early,2015,10,1,M,A,516.12,174.5,93,35.5,6.88,20.34,18.01906533,7
0751-1133,1,LM-15-009,early,2015,10,1,M,A,516.12,174.5,93,35.5,6.88,20.34,18.01906533,7
0917-1074,1,LM-17-209,early,2017,10,1,M,J,523,182,88,41.5,7.93,22.8,16.82600382,7
0917-1094,1,LM-17-209,early,2017,10,1,M,J,523,182,88,41.5,7.93,22.8,16.82600382,7
0917-1114,1,LM-17-209,early,2017,10,1,M,J,523,182,88,41.5,7.93,22.8,16.82600382,7
0917-1134,1,LM-17-209,early,2017,10,1,M,J,523,182,88,41.5,7.93,22.8,16.82600382,7
0918-1075,1,LM-17-212,early,2017,10,1,F,A,501,161.5,84,33,6.59,20.43,16.76646707,7
0918-1095,1,LM-17-212,early,2017,10,1,F,A,501,161.5,84,33,6.59,20.43,16.76646707,7
0918-1115,1,LM-17-212,early,2017,10,1,F,A,501,161.5,84,33,6.59,20.43,16.76646707,7
0918-1135,1,LM-17-212,early,2017,10,1,F,A,501,161.5,84,33,6.59,20.43,16.76646707,7
0920-1076,1,LM-17-066,early,2017,10,2,F,J,481.02,196.5,93.5,46,9.56,23.41,19.43786121,7
0920-1096,1,LM-17-066,early,2017,10,2,F,J,481.02,196.5,93.5,46,9.56,23.41,19.43786121,7
0920-1116,1,LM-17-066,early,2017,10,2,F,J,481.02,196.5,93.5,46,9.56,23.41,19.43786121,7
0920-1136,1,LM-17-066,early,2017,10,2,F,J,481.02,196.5,93.5,46,9.56,23.41,19.43786121,7
0921-1077,1,LM-17-067,early,2017,10,3,M,J,496.07,188.5,95.5,40.5,8.16,21.49,19.25131534,7
0921-1097,1,LM-17-067,early,2017,10,3,M,J,496.07,188.5,95.5,40.5,8.16,21.49,19.25131534,7
0921-1117,1,LM-17-067,early,2017,10,3,M,J,496.07,188.5,95.5,40.5,8.16,21.49,19.25131534,7
0921-1137,1,LM-17-067,early,2017,10,3,M,J,496.07,188.5,95.5,40.5,8.16,21.49,19.25131534,7
0945-1057,1,LM-17-087,early,2017,10,3,F,J,447.25,163.5,83,34.5,7.71,21.1,18.55785355,7
blank1,,,,,,,,,,,,,,,,
blank1_S27,,,,,,,,,,,,,,,,
blank1-1005,,,,,,,,,,,,,,,,
blank10,,,,,,,,,,,,,,,,
blank10-1146,,,,,,,,,,,,,,,,
blank13-1149,,,,,,,,,,,,,,,,
blank14-1150,,,,,,,,,,,,,,,,
blank15-1151,,,,,,,,,,,,,,,,
blank16-1152,,,,,,,,,,,,,,,,
blank17-1153,,,,,,,,,,,,,,,,
blank18-1154,,,,,,,,,,,,,,,,
blank19-1155,,,,,,,,,,,,,,,,
blank2,,,,,,,,,,,,,,,,
blank2_S21,,,,,,,,,,,,,,,,
blank2_S33,,,,,,,,,,,,,,,,
blank2_S55,,,,,,,,,,,,,,,,
blank2-1138,,,,,,,,,,,,,,,,
blank20-1156,,,,,,,,,,,,,,,,
blank21-1157,,,,,,,,,,,,,,,,
blank22-1158,,,,,,,,,,,,,,,,
blank23-1159,,,,,,,,,,,,,,,,
blank24-1160,,,,,,,,,,,,,,,,
blank3,,,,,,,,,,,,,,,,
blank3-1139,,,,,,,,,,,,,,,,
blank4,,,,,,,,,,,,,,,,
blank4_S91,,,,,,,,,,,,,,,,
blank4-1140,,,,,,,,,,,,,,,,
blank5,,,,,,,,,,,,,,,,
blank5_S99,,,,,,,,,,,,,,,,
blank6,,,,,,,,,,,,,,,,
blank6_S70,,,,,,,,,,,,,,,,
blank6-1142,,,,,,,,,,,,,,,,
blank7,,,,,,,,,,,,,,,,
blank7_S76,,,,,,,,,,,,,,,,
blank7-1143,,,,,,,,,,,,,,,,
blank8,,,,,,,,,,,,,,,,
blank8-1144,,,,,,,,,,,,,,,,
blank9,,,,,,,,,,,,,,,,
blank9-1145,,,,,,,,,,,,,,,,
Mock-Community,,,,,,,,,,,,,,,,
Mock-community-1000,,,,,,,,,,,,,,,,
Negative-control1-1017,,,,,,,,,,,,,,,,
Negative-control2-1018,,,,,,,,,,,,,,,,
Negative-control3-1019,,,,,,,,,,,,,,,,
Negative-control4-1020,,,,,,,,,,,,,,,,